date,avg_temp,min_temp,max_temp,rainfall,humidity,sunshine,wind,air_pressure
2024-04-15,16.0,11.7,20.0,17.1,77.4,3.18,2.5,1000.2
2024-04-16,13.3,11.5,17.9,2.3,82.6,13.45,2.5,1001.8
2024-04-17,15.0,9.7,21.8,0.0,65.3,23.2,2.2,1001.9
2024-04-18,17.3,10.7,24.9,0.0,53.3,25.45,2.2,1000.1
2024-04-19,17.6,11.5,24.3,0.0,51.8,23.5,2.1,1002.0
2024-04-20,14.9,13.0,17.2,4.8,77.3,4.46,3.0,1000.1
2024-04-21,17.2,13.3,21.7,0.0,65.5,11.86,3.8,1000.8
2024-04-22,18.8,15.0,24.1,0.0,49.4,19.34,3.1,1003.0
2024-04-23,17.3,13.2,24.2,0.0,55.0,19.16,3.6,1001.0
2024-04-24,13.2,11.0,16.5,9.0,80.1,9.53,3.0,997.8
2024-04-25,14.4,10.3,20.8,0.0,75.6,18.59,1.9,1001.5
2024-04-26,17.8,11.4,26.0,0.0,61.1,23.74,1.9,1000.0
2024-04-27,18.2,11.5,26.2,0.0,56.4,28.23,1.9,1001.2
2024-04-28,20.7,13.0,28.9,0.0,53.5,25.14,1.6,1002.5
2024-04-29,20.9,16.9,26.1,0.0,48.0,21.36,3.0,998.2
2024-04-30,18.6,16.0,22.5,0.0,62.5,17.95,2.2,996.1
2024-05-01,18.5,13.9,24.0,0.0,46.0,26.05,2.4,1001.8
2024-05-02,18.1,12.4,23.7,0.0,48.4,28.72,2.4,1007.7
2024-05-03,19.7,12.2,27.9,0.0,46.9,28.28,1.9,1007.8
2024-05-04,21.4,14.6,28.5,0.0,44.8,26.61,1.9,1005.6
2024-05-05,17.8,15.7,20.6,48.3,87.4,2.17,2.5,998.5
2024-05-06,13.9,13.4,15.7,12.3,92.9,2.71,3.1,996.8
2024-05-07,13.3,12.2,15.0,2.4,77.3,4.75,3.0,1001.6
2024-05-08,14.7,9.0,21.4,0.0,58.8,27.21,2.3,1007.8
2024-05-09,16.1,10.9,21.8,0.0,63.6,27.17,2.9,1007.9
2024-05-10,17.9,12.5,23.8,0.0,55.6,28.02,2.6,1007.3
2024-05-11,17.0,14.0,22.0,31.7,80.0,5.72,3.5,1001.2
2024-05-12,16.6,11.9,21.6,0.0,65.0,28.91,2.7,1000.6
2024-05-13,18.3,11.9,24.5,0.0,51.9,30.09,2.3,1004.0
2024-05-14,18.8,12.7,24.7,0.0,43.3,30.02,2.4,1005.3
2024-05-15,12.6,7.2,18.8,20.6,74.3,8.35,2.7,1002.4
2024-05-16,13.7,6.9,19.8,0.1,61.3,31.35,3.1,999.6
2024-05-17,18.3,10.8,24.9,0.0,63.6,24.4,2.2,1003.7
2024-05-18,20.7,16.0,26.5,0.0,65.3,26.88,2.0,1006.6
2024-05-19,21.5,15.9,27.9,0.0,63.1,28.99,1.9,1004.9
2024-05-20,19.4,16.8,22.8,0.0,75.0,11.45,2.3,1005.2
